Name,Username,Label
Rafa César,eurafaelgarcia,0.0
Eddie Valdez,djeddievaldez,1.0
Podres de Direita,eusou_dedireita,0.0
Associação Carlos Barbosa de Futsal | ACBF,pe.ogata,0.0
Rádio Noventa e Nove 🎙,radio995fm,0.0
Renallida Lima,colecao_de_protesto,0.0
Robison Kunz,montanhaloucospor,0.0
Perfil oficial da Comissão de Desportos do Exército,dw.brasil,0.0
SEM MIMIMI 🇧🇷,camilaartescroche,0.0
GlobalCouncilofSustainability,atcm.oficial,0.0
PDT 12,pdt_nacional,1.0
Carlos Búrigo,carolburgo,0.0
Bodim Marabá,bodimdemaraba,1.0
Meat & Co.,dragiceliasantana,0.0
O Estado de Rondônia,lucasrealista,0.0
Portal Campo Alegre WEB,campoalegreweb,1.0
Kleverson Passos,100recurso,0.0
Dra. Ana Lúcia Tourinho,thamara.massoni,0.0
Maria Dondoca,mariadondocaofc,1.0
Revoada Oficial,delegadomarcelofreitas,0.0
Gente Preta,terapretas,0.0
Antínoo,antinoobr,1.0
Dany Peres Scrapbook,plantaodenoticias24horas,0.0
Life Informa,lifeforcemetal,0.0
MHNJB-UFMG,mhnjb_oficial,1.0
A RÁDIO QUE MAIS CRESCE EM AUDIÊNCIA!,claudineyprieto,0.0
Marcio Bittar,marciobittar_,1.0
Sinal de Fumaça,vpjpecuaria,0.0
GuiLuBolosEDoces,guilubolosedoces,1.0
BM PRO Oficial • por @alebussade,camilacuryoficial,0.0
F5 Cariri ®,f5cariri,1.0
Ricardo Zampieri,ricardoramospe,0.0
Douglas Premasi,douglaspremasi,1.0
MEGA ELETRO | Móveis | Colchões | Eletrodomésticos | Celulares.,gsoldeletro,0.0
Família Alviverde | Palmeiras,familiaalviverde,1.0
Gato Mestre,paulaocosta,0.0
Zé Henrique,euheinrique,0.0
Francisco do PT,franciscocostapi,0.0
Banco Rendimento,bancorendimento,1.0
TESÃO PIÁ 🎭,tesesofia,0.0
Osvaldo Assis,advogoparaelas,0.0
Douglas Magno,douglasmagno,1.0
Raul Christiano,raulchristiano,1.0
CRIMES DO COMUNISMO 2.0,crimesdocomunismo,0.0
Coments BR,comentsbr,1.0
Palmas Futebol e Regatas,paulafor,0.0
Unimed Guarapuava,unimedparanavai,0.0
Amo o Ceará,santaclaraempresa,0.0
webmanaus,aame_amigosdaame,0.0
Bloco Mulheres Rodadas,blocomulheresrodadas,1.0
Markos Zaurelio,markoszaurelio,1.0
Ravi Hamilton De Oliveira,gabrieleliasdf,0.0
98 FM Natal Oficial | Rádio,96fmnatal,0.0
Portal Cambé,kennedy_mua,0.0
Conservadores Patriotas 🇧🇷,conservador_nato,0.0
Canal PeeWee,canaldememes_,0.0
Ricardo Lacet,rick_sp,0.0
Camila Santos,musicocarlosamaral,0.0
Andreia Miròn,andreia_medeirosrn,0.0
Cris Oliveira Semijoias,acsemijoiaserelogios,0.0
Gabriel Barone,pfjamyl,0.0
Um Guia do Espírito Santo,vidacapixaba,1.0
Fatos Nerd,fatosnerdoficial,1.0
"Receitas Saudaveis, Zero Açúcar e Glúten",receitasfit_saudaveis,0.0
Itaim e Vila Olímpia,energiasolaranitaamsa,0.0
Portal de Beltrão,clubedocarroantigodobrasil,0.0
Folha News,colegiobloom,0.0
Detran Goiás,clubefm,0.0
Vó Senhora ⭐️,vosenhora,1.0
Looke,carla_gabola,0.0
IGOR LEITE | IMPERATRIZ,3palavrinhas,0.0
Vittorio Medioli,vittorio.medioli,1.0
BandNews Goiás,bandnewsgoias,1.0
Diário Reservense,diarioreservense,1.0
Gamers Club,gamersclubbr,1.0
cdn24horas.com,ac24horas,0.0
Gabinete do Tarcísio 🇧🇷,boscotabosa,0.0
Sérgio Camargo,sergiopinareal,0.0
Paulo Brusqui,ottoalencar,0.0
Paróquia Santo Antônio da Granja Viana,franssinete,0.0
Vilmar Lourenço Adv,deputadobarranco,0.0
Dr. Rodrigo Mello,rodrigomellonutri,1.0
Rafael Satiê,fabioghaldino,0.0
Palmeiras Online,eudesoliveirajr,0.0
Tiago J Albrecht,saiunamidiaoficial,0.0
Mariana Motta,mari.purpura,1.0
Enderson Oliveira,o_enderson_,1.0
Vanessa haddad,vhassessoria,1.0
Jade Míguez,jademiguez,1.0
Paulo Henrique de Moura,paulomouraopt,0.0
Leonardo Dias,tocomleonardo,1.0
Ticketline,ticketlinept,1.0
Helô Pinheiro,centraldafama,0.0
Instituto GeoLAB 🌎📈💸,boca.trombone.pontagrossa,0.0
Dr. Daniel Coimbra,piratasdabolla,0.0
Gabi / MeMachine,adrianocielo,0.0
Vital Chá,flavialancha,0.0
Brasil Desgovernado,brasil_das_gerais,0.0
Notícias de Mogi e Região,jornalasemana,1.0
Lucão Quer Atenção,queridaporelas,0.0
The Investor,lefantestore,0.0
Vallinda / calçados feminino,renallidaoficial,0.0
Mônica Moreira,monicarfernandes,0.0
fofoca discreta,fofocadiscretta,1.0
UCS,marcomr10oficial,0.0
Portal da Cidade Ipatinga,portaldacidadeipatinga,1.0
Geisiane Cristina Freitas - Socióloga,geisianecristinafreitas,1.0
Pollyanna Rocha,vereadorclaudineidarocha,0.0
