Name,Username,Label
Gaspar Mil Grau,gaspar.milgrau,1.0
Esporte Dinâmico,esporte.dinamico,1.0
Orquestra de Metais Commil,commilitaguai,1.0
Cosme Santana,cosme_santana,1.0
Esmael Almeida,esmaeldealmeida,1.0
GUIA em DUBAI 🇧🇷,guiaemdubaibrasileira,1.0
SIMPLIFICANDO DIREITO PENAL,simplificandodireitopenal,1.0
Material de construção,gemeosricardo,1.0
Felipe Simmons Mendes,felipesimmonsmendes,1.0
UMP Central,central.ctba,1.0
Vily Oliveira,evilytourinho,1.0
Adriana cristina andrad cassin pereira,dricassin,1.0
Maria Gil,mariagil76,1.0
Guilherme D'Avila,guilhermedavilaoficial,1.0
Dr. Waldemar Naves do Amaral,dr.waldemarnaves,1.0
Ale Nogueira |  Venda em Marketplaces,alexandrenogueira.uni,1.0
𝑱𝒆𝒂𝒏 𝑪𝒐𝒓𝒂𝒖𝒄𝒊,jeancorauci,1.0
namorados,namorados.offc,1.0
Spalding Brasil,spaldingbrasil,1.0
⚔️ S H A D O W ⚔️,djdiegosombra,1.0
APAV,apav_online,1.0
Carolina Pinto,carolinajuliapinto,1.0
Prefeitura de Nova Serrana,prefeituranovaserrana,1.0
Nohall Agência Digital,nohalldigital,1.0
Hotelier News,hoteliernews,1.0
Sandy Oficial PE,sandyoficialpe,1.0
Marcelo Oguido,marcelooguido,1.0
Joana Inês-Soares,violetacorderosa,1.0
Fundação Demócrito Rocha,fundacaodemocritorocha,1.0
Bricks Treinamentos Aquáticos,brickstraining,1.0
EQUUS • denim brand,equusoficial,1.0
Bolsao MS,bolsaoms,1.0
Palmas Mil Grau,palmasmilgrau,1.0
Ricardo Sales,ricardodesales,1.0
Luciano Pires,lucianopires,1.0
Izabel Accioly | Antropóloga,afroantropologa,1.0
David Mello Oficial 🇮🇱,davidmellooficial,1.0
Prefeitura de Barra de Santo Antônio,prefeitura.barradesantoantonio,1.0
Eduardo Correia,__eduardisse,1.0
Samuel Dennys,samueldennys,1.0
Armando Abdias,armandoabdias,1.0
Tiago J Albrecht,tiagojalbrecht,1.0
A VOZ DIVINA,avozdivina,1.0
Ernane Fiuza,ernanefiuza,1.0
SíndicoNet,sindiconet,1.0
Luiz Pinto,luizpinto,1.0
Camaragibe Ordinário,camaragibeordinarioo,1.0
Fael Mariz,faelmariz,1.0
CMP,cmp.brasil,1.0
NARGUILE BRASÍLIA 🇧🇷💨🔞,narguilebrasilia,1.0
Soy Lolla REB3LDE ‼️,lollamusic,1.0
MELHOR DO ATACADO,melhordobrassp,1.0
Dary Pagung,darypagung,1.0
Signo Safado,signosafado,1.0
Jornal Correio de Itapetininga,correiodeitape,1.0
Kiko Dinucci,kikodinucci,1.0
MTB Capixaba,mtbcapixaba,1.0
Bahia Direita,bahiadireita,1.0
Carlinhos Felix Oficial,carlinhosfelix,1.0
Keila Jimenez,ktvefamosos,1.0
JAM - JESUS ARMY MEMBER 🇧🇷,equipejam,1.0
Secretaria de Estado da Saúde,saude_sergipe,1.0
Army.diario,army.diiario,1.0
André Dorigo,andredorigo,1.0
Europa Viagens | Roteiros de viagem,europaviagens,1.0
Editora Sextante,editorasextante,1.0
Edu Rocha,clubedemilionarios,1.0
Enildo Viana,enildoviana,1.0
Renata Sperandio,renatasperandio,1.0
Anna Park,annapark___,1.0
Luciana Braga,lucianabragaatriz,1.0
Mauro Abreu,telefunksoul,1.0
GR Group,grgroupbr,1.0
No Matinho 🌿,nomatinhofficial,1.0
Rodrigão Meira,rodrigaomeira,1.0
Omelhorda44.eth,omelhorda44,1.0
Gostosura Churros,gostosurachurros,1.0
Nati Constantino,naticonstantino,1.0
Um universitário também chora,umuniversitariotambemchora,1.0
Life Strong Energy Drink,lifestrongenergydrink,1.0
Edmilson Silva,edmilsonpereirapb,1.0
Rádio Araranguá 95.5FM,radioararangua,1.0
"Di Blasi, Parente & Associados",diblasiparente,1.0
Laura Rosa Jeans - Moda Feminina,laurarosajeans,1.0
Igreja Cristã Contemporânea - Tatuapé/SP,iccsaopaulo,1.0
Big-Tê | Lanchonete | Perfil Oficial,lanchesbigte,1.0
Sr. dos Sonhos,srdossonhos,1.0
Victor Coelho,victorcoelhoes,1.0
Congadar,congadar,1.0
Movente,movente,1.0
Adriano Soares,chefadrianosoares,1.0
Fábio Avelar,fabioavelaroficial,1.0
Liria Schmidt Parey,liriaparey,1.0
Anatomia Fácil Rogério Gozzi,anatomiafacil,1.0
🍀 Agricultura Paraná® - AP 🍀,agriculturaparana,1.0
Kinvo,kinvoapp,1.0
RADIOATIVA,radioativaoficial,1.0
PAULO TAUIL FOTOGRAFIA,paulo_tauil,1.0
Any Gabrielly,anygabriellyofficial,1.0
TUDO PARA BAIXINHOS,tudoparabaixinho,1.0
Jornal de Brasília,jornaldebrasilia,1.0
Diego Trindade,prdiegotrindade,1.0
Mundaréu,mundareupodcast,1.0
Thamara Carvalho,amara_ceu,1.0
Delegado William Bretz,delegadowilliambretz,1.0
Bernardo Gonzales,ber_gonzales,1.0
MÁFIA DO BOI 15AM | MDB ®,mafiadoboi15am,1.0
Laísa Jadine,laisajadine,1.0
