Name,Username,Label
Babi Santo - Cartas Astrologia,paulosantos.rj,0
Nicolas Otávio,nicolasotaviooficial,1
Encontrei na Baixada,encontreinabaixada,1
Porconograu,porconograu,1
Carmen Faustino,motivatudy,0
Niully Campos,marianaqueirozjornalista,0
Marreta Maciel Santos🔘,denise.herzer,0
Radio Mais Brazil UK,radiomaisbraziloficial,1
Apib,banda88nao,0
Olimpíada Todo Dia,otd_oficial,1
Jade Míguez,jademiguez,1
Dep. Estadual Gilson de Souza,deputadogilsondesouza,1
Palato Restaurante,colunabelamegale,0
Leo&Leo - Material Escolar,progressistas,0
Colégio Equação Certa,adeliadanielli,0
Hoje no Mundo Militar,hojenomundomilitar,1
Claudete Costa,prof_rosaneide,0
Jose Ivaldo Almeida,unidadehenriquejorge,0
MITOS DE BATINA,mitosdebatina.oficial,1
Ciro Winckler,para_science,1
ᗰᗩᖇᑕO ᐯIEIᖇᗩ,marcoapvieira,1
Paulo Pimentel,paulopimentel,1
AMANTES DE VAQUEJADA,clubedetirobh,0
▸ Diego Funari | CS ◂,prefeituradetrindadeoficial,0
DuZé,bar_duze,1
Fabio Silva,portalmigalhas,0
✡️ Estrela Náutica Serviços ✡️,zezeweiss,0
Sargento Neri,heliogustavoalves,0
Sou eu bravinha 😊,inspbr,0
Rebelde por uma causa,rebeldeporumacausa,1
Tonhão da Editora,tonhaodaeditora,1
𝘝𝘦𝘳𝘦𝘢𝘥𝘰𝘳 𝘔𝘢𝘳𝘤𝘰𝘴 𝘥𝘢 𝘗𝘳𝘦𝘴𝘵𝘢𝘤̧𝘢̃𝘰 🇧🇷,ernestoxavier,0
Rádio Estereo Cidade,casamia.br,0
Festival do Rio - Rio de Janeiro Int'l Film Festival,thalithabarboza,0
TIRADENTES CONCURSOS - CENTRO,atual7,0
RioMar Recife,aritaluz,0
Fernando Fernandes,programapetzoo,0
São José Mil Grau,saojosemilgrauu,1
Jau,franbarretooficial,0
CONCURSEIRO ALAGOANO,marigarciabitencourt,0
Forbes Brasil,sicoob_credipatos,0
Pr. Josenilson Almeida,modaflaviabotelho,0
✈ Agência Aventureiros,agencia.aventureiros,1
